Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.99
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.89
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.27
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.05
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.3
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.03
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.7
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.45
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.85
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.29
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.07
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0,28.02
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.33
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.81
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.91
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.36
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.14
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.56
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.62
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.84
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.24
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3.0,8.06
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180.0,44.21
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.52
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.3
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.12
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28.0,37.43
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.6
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.26
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365.0,52.91
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180.0,41.72
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270.0,42.13
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.69
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.41
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.08
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.72
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90.0,42.23
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180.0,36.25
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,50.46
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365.0,43.7
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365.0,39.0
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180.0,53.1
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.54
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7.0,35.08
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3.0,15.05
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180.0,40.76
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,26.26
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.82
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180.0,39.78
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180.0,46.93
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0,33.12
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90.0,49.19
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,14.59
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7.0,14.64
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365.0,41.93
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3.0,9.13
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180.0,50.95
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28.0,33.02
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270.0,54.38
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270.0,51.73
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3.0,9.87
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270.0,50.66
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180.0,48.7
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270.0,55.06
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360.0,44.7
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7.0,30.28
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28.0,40.86
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28.0,71.99
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3.0,34.4
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3.0,28.8
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.4
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3.0,36.3
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3.0,29.0
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3.0,37.8
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3.0,40.2
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.4
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3.0,28.1
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3.0,41.3
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.4
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3.0,25.2
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3.0,41.1
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3.0,28.3
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3.0,28.6
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3.0,24.4
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3.0,39.3
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3.0,40.6
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3.0,24.1
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7.0,46.2
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7.0,42.8
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.2
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7.0,46.8
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7.0,45.7
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7.0,55.6
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7.0,54.9
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.2
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7.0,34.9
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7.0,46.9
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.2
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7.0,33.4
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7.0,54.1
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.9
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7.0,49.8
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7.0,47.1
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.9
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7.0,38.0
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.9
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7.0,56.1
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7.0,59.09
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,22.9
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7.0,35.1
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28.0,61.09
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28.0,59.8
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.29
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28.0,61.8
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28.0,56.7
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28.0,68.3
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28.0,66.9
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.29
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28.0,50.7
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28.0,56.4
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.29
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28.0,55.5
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28.0,68.5
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28.0,74.7
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28.0,52.2
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28.0,67.7
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28.0,66.0
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28.0,74.5
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28.0,49.9
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56.0,63.4
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56.0,64.9
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.3
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56.0,64.9
375.0,93.8,0.0,126.6,23.4,852.1,992.6,56.0,60.2
475.0,118.8,0.0,181.1,8.9,852.1,781.5,56.0,72.3
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56.0,69.3
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.3
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56.0,55.2
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56.0,58.8
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.3
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56.0,66.1
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56.0,73.7
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.3
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56.0,80.2
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56.0,54.9
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.3
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56.0,72.99
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.3
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56.0,71.7
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56.0,79.4
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.3
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56.0,59.89
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91.0,64.9
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91.0,66.6
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.2
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91.0,66.7
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91.0,62.5
475.0,118.8,0.0,181.1,8.9,852.1,781.5,91.0,74.19
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91.0,70.7
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.2
388.6,97.1,0.0,157.9,12.1,852.1,925.7,91.0,57.6
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91.0,59.2
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.2
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91.0,68.1
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91.0,75.5
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.3
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91.0,56.5
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.3
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91.0,76.8
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.3
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91.0,73.3
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91.0,82.6
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.3
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91.0,67.8
222.4,0.0,96.7,189.3,4.5,967.1,870.3,3.0,11.58
222.4,0.0,96.7,189.3,4.5,967.1,870.3,14.0,24.45
222.4,0.0,96.7,189.3,4.5,967.1,870.3,28.0,24.89
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56.0,29.45
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100.0,40.71
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3.0,10.38
233.8,0.0,94.6,197.9,4.6,947.0,852.2,14.0,22.14
233.8,0.0,94.6,197.9,4.6,947.0,852.2,28.0,22.84
233.8,0.0,94.6,197.9,4.6,947.0,852.2,56.0,27.66
233.8,0.0,94.6,197.9,4.6,947.0,852.2,100.0,34.56
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,3.0,12.45
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14.0,24.99
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,28.0,25.72
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,56.0,33.96
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100.0,37.34
